entry,stratum,primary_outcome,condition_label,experiment_run_id,condition_id,metric,unit,population,numerator,denominator,estimate,mcse,lower,upper,interval_method,confidence_level,uncertainty_unavailable_reason
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_ge3,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_eq0,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_eq1,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_eq2,probability,all_patients,2000,2000,1.0,0.0,0.9980829527187471,1.0,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_eq3,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_eq4,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,suppressed_only,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,no_qualifying_data,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,qualifying_pf_count,records,all_patients,,2000,51.7315,0.18879493011683052,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,missing_baseline,probability,all_patients,1,2000,0.0005,0.0005,8.826773070546787e-05,0.0028268625032662137,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,delta_legacy_ge1,probability,all_patients,1,2000,0.0005,0.0005,8.826773070546787e-05,0.0028268625032662137,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,delta_evaluable_ge1,probability,acute_and_baseline_evaluable,0,1999,0.0,0.0,0.0,0.0019180044450228424,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,delta_legacy_ge2,probability,all_patients,1,2000,0.0005,0.0005,8.826773070546787e-05,0.0028268625032662137,wilson,0.95,
